Class name,Subject name,Unit name,Chapter name
An Alien Hand',Chapter 9,A Tiger in the House
Class 7,'English
An Alien Hand',Chapter 10,An Alien Hand
Class 6,Mathematics,Chapter 1,Knowing Our Numbers
Class 6,Mathematics,Chapter 2,Whole Numbers
Class 6,Mathematics,Chapter 3,Playing With Numbers
Class 6,Mathematics,Chapter 4,Basic Geometrical Ideas
Class 6,Mathematics,Chapter 5,Understanding Elementary Shapes
Class 6,Mathematics,Chapter 6,Integers
Class 6,Mathematics,Chapter 7,Fractions
Class 6,Mathematics,Chapter 8,Decimals
Class 6,Mathematics,Chapter 9,Data Handling
Class 6,Mathematics,Chapter 10,Mensuration
Class 6,Mathematics,Chapter 11,Algebra
Class 6,Mathematics,Chapter 12,Ratio and Proportion
Class 6,Mathematics,Chapter 13,Symmetry
Class 6,Mathematics,Chapter 14,Practical Geometry
Class 6,'Science
Biology',Chapter 1,Food: Where Does it Come From?
Class 6,'Science
Biology',Chapter 2,Components of Food
Class 6,Chemistry,Chapter 3,Fiber to Fabric
Class 6,Chemistry,Chapter 4,Sorting Materials into Groups
Class 6,Chemistry,Chapter 5,Separation of Substances
Class 6,Chemistry,Chapter 6,Changes Around Us
Class 6,Biology,Chapter 7,Getting to Know Plants
Class 6,Biology,Chapter 8,Body Movements
Class 6,Biology,Chapter 9,The Living Organisms - Characterstics and Habitats
Class 6,Biology,Chapter 10,'Garbage In, Garbage Out'
Class 6,Physics,Chapter 11,Motion and Measurement of Distances
Class 6,Physics,Chapter 12,'Light, Shadows and Reflections'
Class 6,Physics,Chapter 13,Electricity and Circuits
Class 6,Physics,Chapter 14,Fun With Magnets
Class 6,Chemistry,Chapter 15,Water
Class 6,Chemistry,Chapter 16,Air Around Us
Class 6,'Social Science 
History',Chapter 1,'What, Where, How, and When?'
Class 6,'Social Science 
History',Chapter 2,From Hunting-gathering to Growing Food
Class 6,'Social Science 
History',Chapter 3,In the Earliest Cities
Class 6,'Social Science 
History',Chapter 4,What Books and Burials Tell Us?
Class 6,'Social Science 
History',Chapter 5,'Kingdoms, Kings, and an Early Republic'
Class 6,'Social Science 
History',Chapter 6,New Questions and Ideas
Class 6,'Social Science 
History',Chapter 7,Ashoka the Emperor who Gave up War
Class 6,'Social Science 
History',Chapter 8,'Vital Villages, Thriving Towns'
Class 6,'Social Science 
History',Chapter 9,'Traders, Kings, and Pilgrims'
Class 6,'Social Science 
History',Chapter 10,New Empires and Kingdoms
Class 6,'Social Science 
History',Chapter 11,'Buildings, Paintings, and Books'
Class 6,Geography,Chapter 1,The Earth in the Solar System
Class 6,Geography,Chapter 2,Globe: Latitudes and Longitudes
Class 6,Geography,Chapter 3,Motions of the Earth
Class 6,Geography,Chapter 4,Maps
Class 6,Geography,Chapter 5,Major Domains of the Earth
Class 6,Geography,Chapter 6,Major Landforms of the Earth
Class 6,Geography,Chapter 7,Our Country- India
Class 6,Geography,Chapter 8,'India - Climate, Vegetation, and Wildlife'
Class 6,Social and Political Life,Chapter 1,Understanding Diversity
Class 6,Social and Political Life,Chapter 2,Diversity and Discrimination
Class 6,Social and Political Life,Chapter 3,What is Government?
Class 6,Social and Political Life,Chapter 4,Key Elements of a Democratic Government
Class 6,Social and Political Life,Chapter 5,Panchayati Raj
Class 6,Social and Political Life,Chapter 6,Rural Administration
Class 6,Social and Political Life,Chapter 7,Urban Administration
Class 6,Social and Political Life,Chapter 8,Rural Livelihoods
Class 6,Social and Political Life,Chapter 9,Urban Livelihoods
Class 6,'English
Honeysuckle(Main book)',Chapter 1,Who Did Patrick’s Homework?
Class 6,'English
Honeysuckle(Main book)',Poem 1,'A House, A Home'
Class 6,'English
Honeysuckle(Main book)',Chapter 2,How the Dog Found Himself a New Master!
Class 6,'English
Honeysuckle(Main book)',Poem 2,The Kite
Class 6,'English
Honeysuckle(Main book)',Chapter 3,Taro’s Reward
Class 6,'English
Honeysuckle(Main book)',Poem 3,The Quarrel
Class 6,'English
Honeysuckle(Main book)',chapter 4,An Indian – American Woman in Space: Kalpana Chawla
Class 6,'English
Honeysuckle(Main book)',Poem 4,Beauty
Class 6,'English
Honeysuckle(Main book)',Chapter 5,A Different Kind of School
Class 6,'English
Honeysuckle(Main book)',Poem 5,Where Do All the Teachers Go?
Class 6,'English
Honeysuckle(Main book)',Chapter 6,Who I Am
Class 6,'English
Honeysuckle(Main book)',Poem 6,The Wonderful Words
Class 6,'English
Honeysuckle(Main book)',Chapter 7,Fair Play
Class 6,'English
Honeysuckle(Main book)',Chapter 8,A Game of Chance
Class 6,'English
Honeysuckle(Main book)',Poem 7,Vocation
Class 6,'English
Honeysuckle(Main book)',Chapter 9,Desert Animals
Class 6,'English
Honeysuckle(Main book)',Poem 8,What if
Class 6,'English
Honeysuckle(Main book)',Chapter 10,The Banyan Tree
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 1,A Tale of Two Birds
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 2,The Friendly Mongoose
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 3,The Shepherd’s Treasure
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 4,The Old-Clock Shop
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 5,Tansen
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 6,The Monkey and the Crocodile
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 7,The Wonder Called Sleep
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 8,A Pact with the Sun
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 9,What Happened to the Reptiles
Class 6,'English
A Pact With The Sun(Supplementary)',Chapter 10,A Strange Wrestling Match
Class 6,Computer Science,Chapter 1,Computer Languages
Class 6,Computer Science,Chapter 2,More on Windows
Class 6,Computer Science,Chapter 3,Fun with Powerpoint
Class 6,Computer Science,Chapter 4,More on Powerpoint
Class 6,Computer Science,Chapter 5,Working with Spreadsheets
Class 6,Computer Science,Chapter 6,Internet Service
Class 6,Computer Science,Chapter 7,Introduction to Python
Class 6,Computer Science,Chapter 8,Creating Web Pages Using HTML 5
Class 5,Mathematics,Chapter 1,The fish Tale
Class 5,Mathematics,Chapter 2,Shapes and Angles
Class 5,Mathematics,Chapter 3,How Many Squares?
Class 5,Mathematics,Chapter 4,Parts and Wholes
Class 5,Mathematics,Chapter 5,Does it Look the Same?
Class 5,Mathematics,Chapter 6,'Be My Multiple, I’ll be Your Factor'
Class 5,Mathematics,Chapter 7,Can You See the Pattern?
Class 5,Mathematics,Chapter 8,Mapping Your Way
Class 5,Mathematics,Chapter 9,Boxes and Sketches
Class 5,Mathematics,Chapter 10,Tenths and Hundredths
Class 5,Mathematics,Chapter 11,Area and its Boundary
Class 5,Mathematics,Chapter 12,Smart Charts
Class 5,Mathematics,Chapter 13,Ways to Multiply and Divide
Class 5,Mathematics,Chapter 14,How Big? How Heavy?
Class 5,EVS,Chapter 1,Super Senses
Class 5,EVS,Chapter 2,A Snake Charmer’s Story
Class 5,EVS,Chapter 3,From Tasting To Digesting
Class 5,EVS,Chapter 4,Mangoes Round The Year
Class 5,EVS,Chapter 5,Seeds And Seeds
Class 5,EVS,Chapter 6,Every Drop Counts
Class 5,EVS,Chapter 7,Experiments With Water
Class 5,EVS,Chapter 8,A Treat For Mosquitoes
Class 5,EVS,Chapter 9,Up You Go!
Class 5,EVS,Chapter 10, Walls Tell Stories
Class 5,EVS,Chapter 11,Sunita In Space
Class 5,EVS,Chapter 12,What If It Finishes?
Class 5,EVS,Chapter 13,A Shelter So High!
Class 5,EVS,Chapter 14,When The Earth Shook!
Class 5,EVS,Chapter 15,'Blow Hot, Blow Cold'
Class 5,EVS,Chapter 16,Who Will Do This Work?
Class 5,EVS,Chapter 17,Across The Wall
Class 5,EVS,Chapter 18,No Place For Us?
Class 5,EVS,Chapter 19,A Seed Tells A Farmers Story
Class 5,EVS,Chapter 20,Whose Forests?
Class 5,EVS,Chapter 21,'Like Father, Like Daughter'
Class 5,EVS,Chapter 22,On The Move Again
Class 5,English,Unit 1,'Ice Cream Man
Wonderful Waste!'
Class 5,English,Unit 2,'Teamwork
Flying Together'
Class 5,English,Unit 3,'My Shadow
Robinson Crusoe Discovers a Footprint'
Class 5,English,Unit 4,'Crying
My Elder Brother'
Class 5,English,Unit 5,'The Lazy Frog
Rip Van Winkle'
Class 5,English,Unit 6,'Class Discussion
The Talkative Barber'
Class 5,English,Unit 7,'Topsy-turvy Land
Gulliver’s Travels'
Class 5,English,Unit 8,'Nobody’s Friend
The Little Bully'
Class 5,English,Unit 9,Sing a Song of People
Class 5,English,Unit 10,'Malu-Bhalu
Who will be Ningthou?'
Class 5,Hindi,अपनी-अपनी रंगतें,पाठ 1: राख की रस्सी (लोककथा)
Class 5,Hindi,अपनी-अपनी रंगतें,पाठ 2: फसलों के त्योहार (लेख)
Class 5,Hindi,अपनी-अपनी रंगतें,पाठ 3: खिलौनेवाला (कविता)
Class 5,Hindi,अपनी-अपनी रंगतें,पाठ 4: नन्हा फनकार (कहानी)
Class 5,Hindi,अपनी-अपनी रंगतें,पाठ 5: जहाँ चाह वहाँ राह (लेख)
Class 5,Hindi,बात का सफ़र,पाठ 6: चिट्ठी का सफ़र (लेख)
Class 5,Hindi,बात का सफ़र,'पाठ 7: डाकिए की कहानी, कुँवरसिंह की जुबानी (भेंटवार्ता)'
Class 5,Hindi,बात का सफ़र,पाठ 8: वे दिन भी क्या दिन थे (विज्ञान कथा)
Class 5,Hindi,बात का सफ़र,पाठ 9: एक माँ की बेबसी (कविता)
Class 5,Hindi,मजाखटोला,पाठ 10: एक दिन की बादशाहत (कहानी)
Class 5,Hindi,मजाखटोला,पाठ 11: चावल की रोटियाँ (नाटक)
Class 5,Hindi,मजाखटोला,पाठ 12: गुरु और चेला (कविता)
Class 5,Hindi,मजाखटोला,पाठ 13: स्वामी की दादी (कहानी)
Class 5,Hindi,आस-पास,पाठ 14: बाघ आया उस रात (कविता)
Class 5,Hindi,आस-पास,पाठ 15: बिशन की दिलेरी (कहानी)
Class 5,Hindi,आस-पास,पाठ 16: पानी रे पानी (लेख)
Class 5,Hindi,आस-पास,पाठ 17: छोटी-सी हमारी नदी (कविता)
Class 5,Hindi,आस-पास,पाठ 18: चुनौती हिमालय की (यात्रा वर्णन)
Class 5,Hindi,Grammar,भाषा और व्याकरण
Class 5,Hindi,Grammar,वर्ण विचार
Class 5,Hindi,Grammar,संज्ञा
Class 5,Hindi,Grammar,'लिंग, वचन और कारक'
Class 5,Hindi,Grammar,सर्वनाम
Class 5,Hindi,Grammar,विशेषण
Class 5,Hindi,Grammar,क्रिया
Class 5,Hindi,Grammar,काल
Class 5,Hindi,Grammar,अविकारी शब्द
Class 5,Hindi,Grammar,शुद्ध वर्तनी
Class 5,Hindi,Grammar,वाक्य
Class 5,Hindi,Grammar,शब्द निर्माण
Class 5,Hindi,Grammar,पर्यायवाची शब्द
Class 5,Hindi,Grammar,विलोम शब्द
Class 5,Hindi,Grammar,श्रुतिसमभिन्नार्थक शब्द
Class 5,Hindi,Grammar,अनेक शब्दों के लिए एक शब्द
Class 5,Hindi,Grammar,विराम-चिह्न
Class 5,Hindi,Grammar,मुहावरे
Class 5,Hindi,Reading skills,अपठित गद्यांश
Class 5,Hindi,Writing skills,पत्र लेखन
Class 5,Hindi,Writing skills,अनुच्छेद लेखन
Class 5,Hindi,Writing skills,कहानी लेखन
Class 4,Mathematics,Chapter 1,Building with Bricks
Class 4,Mathematics,Chapter 2,Long and Short
Class 4,Mathematics,Chapter 3,A Trip to Bhopal
Class 4,Mathematics,Chapter 4,Tick-Tick-Tick
Class 4,Mathematics,Chapter 5,The Way The World Looks
Class 4,Mathematics,Chapter 6,The Junk Seller
Class 4,Mathematics,Chapter 7,Jugs and Mugs
Class 4,Mathematics,Chapter 8,Carts and Wheels
Class 4,Mathematics,Chapter 9,Halves and Quarters
Class 4,Mathematics,Chapter 10,Play with Patterns
Class 4,Mathematics,Chapter 11,Tables and Shares
Class 4,Mathematics,Chapter 12,How Heavy? How Light?
Class 4,Mathematics,Chapter 13,Fields and Fences
Class 4,Mathematics,Chapter 14, Smart Charts
Class 4,EVS,Chapter 1,Going to School
Class 4,EVS,Chapter 2,Ear to Ear
Class 4,EVS,Chapter 3,A Day with Nandu
Class 4,EVS,Chapter 4,The Story of Amrita
Class 4,EVS,Chapter 5,Anita and the Honeybees
Class 4,EVS,Chapter 6,Omana’s Journey
Class 4,EVS,Chapter 7,From the Window
Class 4,EVS,Chapter 8,Reaching Grandmother’s House
Class 4,EVS,Chapter 9,Changing Families
Class 4,EVS,Chapter 10,'Hu Tu Tu, Hu Tu Tu'
Class 4,EVS,Chapter 11,The Valley of Flowers
Class 4,EVS,Chapter 12,Changing Times
Class 4,EVS,Chapter 13,A River’s Tale
Class 4,EVS,Chapter 14,Basva’s Farm
Class 4,EVS,Chapter 15,From Market to Home
Class 4,EVS,Chapter 16,A busy Month
Class 4,EVS,Chapter 17,Nandita in Mumbai
Class 4,EVS,Chapter 18,'Too Much Water, Too Little Water'
Class 4,EVS,Chapter 19,Abdul in the Garden
Class 4,EVS,Chapter 20,Eating Together
Class 4,EVS,Chapter 21,Food and Fun
Class 4,EVS,Chapter 22,The World in my Home
Class 4,EVS,Chapter 23,Pochampalli
Class 4,EVS,Chapter 24,Home and Abroad
Class 4,EVS,Chapter 25,Spicy Riddles
Class 4,EVS,Chapter 26,Defence Officer: Wahida
Class 4,EVS,Chapter 27,Chuskit Goes to School
Class 4,English,Unit 1,'Wake Up!
Neha’s Alarm Clock'
Class 4,English,Unit 2,'Noses
The Little Fir Tree'
Class 4,English,Unit 3,'Run!
Nasruddin’s Aim'
Class 4,English,Unit 4,'Why?
Alice in Wonderland'
Class 4,English,Unit 5,'Don’t be Afraid of the Dark
Helen Keller'
Class 4,English,Unit 6,'Hiawatha
The Scholar’s Mother Tongue'
Class 4,English,Unit 7,'A Watering Rhyme
The Giving Tree
The Donkey'
Class 4,English,Unit 8,'Books
Going to Buy a Book'
Class 4,English,Unit 9,'The Naughty Boy
Pinocchio'
Class 3,Mathematics,Chapter 1,Where to Look From
Class 3,Mathematics,Chapter 2,Fun With Numbers
Class 3,Mathematics,Chapter 3,Give and Take
Class 3,Mathematics,Chapter 4,Long and Short
Class 3,Mathematics,Chapter 5,Shapes and Designs
Class 3,Mathematics,Chapter 6,Fun With Give and Take
Class 3,Mathematics,Chapter 7,Time Goes On
Class 3,Mathematics,Chapter 8,Who is Heavier?
Class 3,Mathematics,Chapter 9,How Many Times?
Class 3,Mathematics,Chapter 10,Play With Patterns
Class 3,Mathematics,Chapter 11,Jugs and Mugs
Class 3,Mathematics,Chapter 12,Can We Share?
Class 3,Mathematics,Chapter 13,Smart Charts!
Class 3,Mathematics,Chapter 14,Rupees and Paise
Class 3,EVS,Chapter 1,Poonam’s Day out
Class 3,EVS,Chapter 2,The Plant Fairy
Class 3,EVS,Chapter 3,Water O’ Water!
Class 3,EVS,Chapter 4,Our First School
Class 3,EVS,Chapter 5,Chhotu’s House
Class 3,EVS,Chapter 6,Foods We Eat
Class 3,EVS,Chapter 7,Saying without Speaking
Class 3,EVS,Chapter 8,Flying High
Class 3,EVS,Chapter 9,It’s Raining
Class 3,EVS,Chapter 10, What is Cooking
Class 3,EVS,Chapter 11,From Here to There
Class 3,EVS,Chapter 12,Work We Do
Class 3,EVS,Chapter 13,Sharing Our Feelings
Class 3,EVS,Chapter 14,The Story of Food
Class 3,EVS,Chapter 15,Making Pots
Class 3,EVS,Chapter 16,Games We Play
Class 3,EVS,Chapter 17,Here comes a Letter
Class 3,EVS,Chapter 18,A House Like This
Class 3,EVS,Chapter 19,Our Friends – Animals
Class 3,EVS,Chapter 20,Drop by Drop
Class 3,EVS,Chapter 21,Families can be Different
Class 3,EVS,Chapter 22,Left-Right
Class 3,EVS,Chapter 23,A Beautiful Cloth
Class 3,EVS,Chapter 24,Web of Life
Class 3,English,Unit 1,'Good Morning
The Magic Garden'
Class 3,English,Unit 2,'Bird Talk
Nina and the Baby Sparrows'
Class 3,English,Unit 3,'Little by Little
The Enormous Turnip'
Class 3,English,Unit 4,'Sea Song
A Little Fish Story'
Class 3,English,Unit 5,'The Balloon Man
The Yellow Butterfly'
Class 3,English,Unit 6,'Trains
The Story of the Road'
Class 3,English,Unit 7,'Puppy and I
Little Tiger, Big Tiger'
Class 3,English,Unit 8,'What’s in the Mailbox?
My Silly Sister'
Class 3,English,Unit 9,'Don’t Tell
He is My Brother'
Class 3,English,Unit 10,'How Creatures Move
The Ship of the Desert'
Class 2,English,Course Book - Lesson 1 ,'Goldilocks and the three bears, poem - what is pink grammar? '
Class 2,English,Work Book - Lesson 1 ,Worksheet- Goldilocks and the 3 bears 
Class 2,English,Grammar Lesson 1 ,Naming Words that are Nouns
Class 2,English,CourseBook - Lesson 2,The Ant and the Grasshopper 
Class 2,English,Workbook - Lesson 2,The Ant and the Grasshopper 
Class 2,English,Grammar Lesson 2,Singular and Plural
Class 2,English,Coursebook - Lesson 3,'Tina''s books'
Class 2,English,CourseBook - Lesson 4,Echo
Class 2,English,Workbook - worksheet 3,The test 
Class 2,English,Grammar - Lesson 4,Articles 
Class 2,English,CourseBook - Lesson 5 ,'The spiders lesson, poem - My hat'
Class 2,English,Grammar Lesson 5,Pronouns 
Class 2,English,Grammar Lesson 6,Describing words are adjectives 
Class 2,English,Coursebook - Lesson 8,'The hidden gift, poem - come little leaves'
Class 2,English,Grammar Lesson 7 ,Actions words are verbs 
Class 2,English,Coursebook Lesson 9 ,Things are Puzzling 
Class 2,English,Grammar Lesson 8 &9,'Verbs Present and past, Helping Verbs '
Class 2,English,Coursebook Lesson 20,'The Beach, Poem - The Moon '
Class 2,English,Grammar Lesson 10 ,Verb+ing 
Class 2,English,Grammar Lesson 11,Prepositions 
Class 2,English,Grammar Lesson 12,Sentences 
Class 2,English,Grammar Lesson 13,Linking Words 
Class 2,English,Grammar Lesson 14,Comprehension 
Class 2,English,Grammer Lesson 15 ,Composition 
Class 2,MATHS,Chapter 1,Numbers 100-200
Class 2,MATHS,Chapter 2,Numbers 201-1000
Class 2,MATHS,Chapter 3 ,Additon
Class 2,MATHS,Chapter 4 ,Subtraction 
Class 2,MATHS,chapter 5 ,Multiplication 
Class 2,MATHS,Chapter 6,Divison
Class 2,MATHS,Chapter 7 ,Basic Geometry
Class 2,MATHS,Chapter 8 ,time
Class 2,MATHS,Chapter 9,Money
Class 2,MATHS,Chapter 10 ,Measurement 
Class 2,MATHS,Chapter 11,Data Handling 
Class 2,MATHS,Chapter 12 ,Patterns 
Class 2,EVS,Lesson 1,My family and i
Class 2,EVS,Lesson 2,Inside our Body
Class 2,EVS,Lesson 3,Food and Health
Class 2,EVS,Lesson 4,Houses we live in 
Class 2,EVS,Lesson 5,Being healthy and strong 
Class 2,EVS,Lesson 6 ,Games we play
Class 2,EVS,Lesson 8,Things around us
Class 2,EVS,Lesson 9,The plants 
Class 2,COMPUTER SCIENCE ,Lesson 1,Computer a smart machine
Class 2,COMPUTER SCIENCE ,Lesson 2 ,Parts of a computer 
Class 2,COMPUTER SCIENCE ,Lesson 7,Introduction to Scratch junior
Class 2,COMPUTER SCIENCE ,Lesson 8,Animation in Scratch junior 
Class 2,SPECIAL TELUGU,Lesson 1,Family Members
Class 2,SPECIAL TELUGU,Lesson 2,Varnmala 
Class 2,SPECIAL TELUGU,Lesson 3,Names of Fruits/ Vegetabes/Flowers
Class 2,SPECIAL TELUGU,Lesson 4,Names of week days
Class 1,ENGLISH,Coursebook - Lesson 1,Meet my family 
Class 1,ENGLISH,Coursebook - Lesson 2,'Off to school, poem - wake up time'
Class 1,ENGLISH,Coursebook - Lesson 3,Making new friends 
Class 1,ENGLISH,Grammar ,1. Naming Words
Class 1,ENGLISH,Grammar ,2. Common Noun and Exact Noun (proper noun) 
Class 1,ENGLISH,Coursebook - Lesson 3,Making new friends 
Class 1,ENGLISH,Coursebook - Lesson 4,'Let''s have lunch (OTBA)'
Class 1,ENGLISH,Grammar,1. Singular/ Plural (one/many)
Class 1,ENGLISH,Grammar,2. Action words 
Class 1,ENGLISH,Coursebook - Lesson 5,'The rabbit and the turtle, poem - the shell'
Class 1,ENGLISH,Grammar ,1. Articles: a/an
Class 1,ENGLISH,Grammar ,2. Pronouns 
Class 1,ENGLISH,Coursebook - Lesson 6,'Picnic in the woods, poem - save each drop '
Class 1,ENGLISH,Grammar,Describing words  (adjectives)
Class 1,ENGLISH,Coursebook - Lesson 8,Thank you 
Class 1,ENGLISH,Coursebook Lesson 7,The New Watchman (OTBA)
Class 1,ENGLISH,Grammar,1. Simple Present 
Class 1,ENGLISH,Grammar,'2. Demonstrative Pronouns (This, that, These, Those)'
Class 1,ENGLISH,Coursebook - Lesson 9,'Brave Debby, Poem: Things I do '
Class 1,ENGLISH,Grammar ,1. Place words
Class 1,ENGLISH,Grammar ,2. Punctuation 
Class 1,ENGLISH,Coursebook - Lesson 10,'Come, let us play, poem - Ice cream time '
Class 1,ENGLISH,Grammar ,1. Recap of punctuation
Class 1,ENGLISH,Grammar ,2. Sentences 
Class 1,MATHEMATICS,Chapter 1,Numbers 1-9
Class 1,MATHEMATICS,Chapter 2,Addition
Class 1,MATHEMATICS,Chapter 3,Subtraction
Class 1,MATHEMATICS,Chapter 4,Positions
Class 1,MATHEMATICS,Chapter 5,Shapres 
Class 1,MATHEMATICS,Chapter 6,Numbers 10--20
Class 1,MATHEMATICS,Chapter 7,Numbers 21-99
Class 1,MATHEMATICS,Chapter 8,Addition and subtraction 
Class 1,MATHEMATICS,Chapter 9,Patterns 
Class 1,MATHEMATICS,Chapter 10,Time 
Class 1,MATHEMATICS,Chapter 11,Money
Class 1,MATHEMATICS,Chapter 12,Measurement 
Class 1,MATHEMATICS,Chapter 13,Data Handling 
Class 1,MATHEMATICS,Chapter 14,Ordinal Numbers 
Class 1,MATHEMATICS,Chapter 15,Multiplication 
Class 1,EVS,Lesson 1,This is me
Class 1,EVS,Lesson 2,My body
Class 1,EVS,Lesson 3,Sense Organs 
Class 1,EVS,Lesson 4,My family
Class 1,EVS,Lesson 5,Clothes we wear
Class 1,EVS,Lesson 6,My neighbourhood
Class 1,EVS,Lesson 7,Our helping hands 
Class 1,EVS,Lesson 8,Our festivals 
Class 1,EVS,Lesson 9,Building habits 
Class 1,EVS,Lesson 10,Air and water / safety rules 
Class 1,EVS,Lesson 11,Plants around us
Class 1,EVS,Lesson 12,Transport 
Class 1,EVS,Lesson 13,Plants around us
Class 1,EVS,Lesson 14,Animals around us 
Class 1,EVS,Lesson 15,The earth
Class 1,EVS,Lesson 16,Weather and seasons 
Class 1,COMPUTER SCIENCE ,Lesson 1,Computer my friend 
Class 1,COMPUTER SCIENCE ,Lesson 2,Computer A machine 
Class 1,COMPUTER SCIENCE ,Lesson 3,Uses of computer 
Class 1,COMPUTER SCIENCE ,Lesson 4,Parts of computer 
Class 1,COMPUTER SCIENCE ,Lesson 5,The Keyboard
Class 1,COMPUTER SCIENCE ,Lesson 6,Using a mouse
Class 1,COMPUTER SCIENCE ,Lesson 7,Data and storage
